985,礁,ショウ,syou,,,reef; sunken rock;,1,ショウ…,
986,祥,ショウ,syou,,,auspicious; happiness; good omen;,1,ショウ…,
987,称,ショウ,syou,たたえる となえる あげる かなう はかり はかる ほめる,tataeru tonaeru ageru kanau hakari hakaru homeru ,appellation; praise; admire; name; title; fame;,1,ショウ…たたえる となえる あげる かなう はかり はかる ほめる,
988,章,ショウ,syou,,,badge; chapter; composition; poem; design;,2,ショウ…,
989,笑,ショウ,syou,わらう えむ,warau emu ,laugh;,2,ショウ…わらう えむ,
990,粧,ショウ,syou,,,cosmetics; adorn (ones person);,1,ショウ…,
991,紹,ショウ,syou,,,introduce; inherit; help;,2,ショウ…,
992,肖,ショウ,syou,あやかる,ayakaru ,resemblance;,1,ショウ…あやかる,
993,衝,ショウ,syou,つく,tsuku ,collide; brunt; highway; opposition (astronomy); thrust; pierce; stab; prick;,1,ショウ…つく,
994,訟,ショウ,syou,,,sue; accuse;,1,ショウ…,
995,証,ショウ,syou,あかし,akashi ,evidence; proof; certificate;,1,ショウ…あかし,
996,詔,ショウ,syou,みことのり,mikotonori ,imperial edict;,1,ショウ…みことのり,
997,詳,ショウ,syou,くわしい つまびらか,kuwashii tsumabiraka ,detailed; full; minute; accurate; well-informed;,1,ショウ…くわしい つまびらか,
998,象,ショウ ゾウ,syou zou,かたどる,katadoru ,elephant; pattern after; imitate; image; shape; sign (of the times);,2,ショウ ゾウ…かたどる,
999,賞,ショウ,syou,ほめる,homeru ,prize; reward; praise;,2,ショウ…ほめる,
1000,鐘,ショウ,syou,かね,kane ,bell; gong; chimes;,1,ショウ…かね,
1001,障,ショウ,syou,さわる,sawaru ,hinder; hurt; harm;,1,ショウ…さわる,
1002,上,ジョウ ショウ シャン,zyou syou syan,うえ うわ- かみ あげる あがる あがり のぼる のぼり のぼせる のぼす よす,ue uwa kami ageru agaru agari noboru nobori noboseru nobosu yosu ,above; up;,4,ジョウ ショウ シャン…うえ うわ- かみ あげる あがる あがり のぼる のぼり のぼせる のぼす よす,
1003,丈,ジョウ,zyou,たけ だけ,take dake ,length; 10feet; measure; Mr.; Ms.; height; stature; all (one has); only; thats all; merely;,1,ジョウ…たけ だけ,
1004,丞,ジョウ ショウ,zyou syou,すくう たすける,sukuu tasukeru ,help;,1,ジョウ ショウ…すくう たすける,
1005,乗,ジョウ ショウ,zyou syou,のる のせる,noru noseru ,ride; power; multiplication; record; counter for vehicles; board; mount; join;,2,ジョウ ショウ…のる のせる,
1006,冗,ジョウ,zyou,,,superfluous; uselessness;,1,ジョウ…,
1007,剰,ジョウ,zyou,あまつさえ あまり あまる,amatsusae amari amaru ,surplus; besides;,1,ジョウ…あまつさえ あまり あまる,
1008,城,ジョウ,zyou,しろ,shiro ,castle;,2,ジョウ…しろ,
1009,場,ジョウ チョウ,zyou tyou,ば,ba ,location; place;,3,ジョウ チョウ…ば,
1010,壌,ジョウ,zyou,つち,tsuchi ,lot; earth; soil;,1,ジョウ…つち,
1011,嬢,ジョウ,zyou,むすめ,musume ,lass; girl; Miss; daughter;,1,ジョウ…むすめ,
1012,常,ジョウ,zyou,つね とこ-,tsune toko ,usual; ordinary; normal; regular;,2,ジョウ…つね とこ-,
1013,情,ジョウ セイ,zyou sei,なさけ,nasake ,feelings; emotion; passion; sympathy; circumstances; facts;,2,ジョウ セイ…なさけ,
1014,条,ジョウ チョウ デキ,zyou tyou deki,えだ すじ,eda suji ,article; clause; item; stripe; streak;,1,ジョウ チョウ デキ…えだ すじ,
1015,浄,ジョウ セイ,zyou sei,きよめる きよい,kiyomeru kiyoi ,clean; purify; cleanse; exorcise; Manchu Dynasty;,1,ジョウ セイ…きよめる きよい,
1016,状,ジョウ,zyou,,,status quo; conditions; circumstances; form; appearance;,2,ジョウ…,
1017,畳,ジョウ チョウ,zyou tyou,たたむ たたみ かさなる,tatamu tatami kasanaru ,tatami mat; counter for tatami mats; fold; shut up; do away with;,2,ジョウ チョウ…たたむ たたみ かさなる,
1018,穣,ジョウ,zyou,わら ゆたか,wara yutaka ,good crops; prosperity; 10**28;,1,ジョウ…わら ゆたか,
1019,蒸,ジョウ セイ,zyou sei,むす むれる むらす,musu mureru murasu ,steam; heat; sultry; foment; get musty;,2,ジョウ セイ…むす むれる むらす,
1020,譲,ジョウ,zyou,ゆずる,yuzuru ,defer; turnover; transfer; convey;,1,ジョウ…ゆずる,
1021,醸,ジョウ,zyou,かもす,kamosu ,brew; cause;,1,ジョウ…かもす,
1022,錠,ジョウ,zyou,,,lock; fetters; shackles;,1,ジョウ…,
1023,嘱,ショク,syoku,しょくする たのむ,shokusuru tanomu ,entrust; request; send a message;,1,ショク…しょくする たのむ,
1024,飾,ショク,syoku,かざる かざり,kazaru kazari ,decorate; ornament; adorn; embellish;,1,ショク…かざる かざり,
1025,植,ショク,syoku,うえる うわる,ueru uwaru ,plant;,2,ショク…うえる うわる,
1026,殖,ショク,syoku,ふえる ふやす,fueru fuyasu ,augment; increase; multiply; raise;,1,ショク…ふえる ふやす,
1027,織,ショク シキ,syoku shiki,おる おり おり,oru ori ori ,weave; fabric;,1,ショク シキ…おる おり おり,
1028,職,ショク ソク,syoku soku,,,post; employment; work;,2,ショク ソク…,
1029,色,ショク シキ,syoku shiki,いろ,iro ,color;,3,ショク シキ…いろ,
1030,触,ショク,syoku,ふれる さわる さわ,fureru sawaru sawa ,contact; touch; feel; hit; proclaim; announce; conflict;,2,ショク…ふれる さわる さわ,
1031,食,ショク ジキ,syoku ziki,くう くらう たべる はむ,kuu kurau taberu hamu ,eat; food;,4,ショク ジキ…くう くらう たべる はむ,
1032,辱,ジョク,zyoku,はずかしめる,hazukashimeru ,embarrass; humiliate; shame;,1,ジョク…はずかしめる,
1033,尻,コウ,kou,しり,shiri ,buttocks; hips; butt; rear;,1,コウ…しり,
1034,伸,シン,shin,のびる のばす のべる のす,nobiru nobasu noberu nosu ,expand; stretch; extend; lengthen; increase;,2,シン…のびる のばす のべる のす,
1035,信,シン,shin,,,faith; truth; fidelity; trust;,2,シン…,
1036,侵,シン,shin,おかす,okasu ,encroach; invade; raid; trespass; violate;,1,シン…おかす,
1037,唇,シン,shin,くちびる,kuchibiru ,lips;,1,シン…くちびる,
1038,娠,シン,shin,,,with child; pregnancy;,1,シン…,
1039,寝,シン,shin,ねる ねかす いぬ みたまや やめる,neru nekasu inu mitamaya yameru ,lie down; sleep; rest; bed; remain unsold;,2,シン…ねる ねかす いぬ みたまや やめる,
1040,審,シン,shin,つまびらか つぶさに,tsumabiraka tsubusani ,hearing; judge; trial;,1,シン…つまびらか つぶさに,
1041,心,シン,shin,こころ りっしんべん,kokoro risshinben ,heart; mind; spirit;,3,シン…こころ りっしんべん,
1042,慎,シン,shin,つつしむ つつし つつしみ,tsutsushimu tsutsushi tsutsushimi ,humility; be careful; discrete; prudent;,1,シン…つつしむ つつし つつしみ,
1043,振,シン,shin,ふる ぶる ふり ふるう,furu buru furi furuu ,shake; wave; wag; swing;,1,シン…ふる ぶる ふり ふるう,
1044,新,シン,shin,あたらしい あらた あら- にい-,atarashii arata ara nii ,new;,3,シン…あたらしい あらた あら- にい-,
1045,晋,シン,shin,すすむ,susumu ,advance;,1,シン…すすむ,
1046,森,シン,shin,もり,mori ,forest; woods;,2,シン…もり,
1047,浸,シン,shin,ひたす ひたる,hitasu hitaru ,immersed; soak; dip; steep; moisten; wet; dunk;,1,シン…ひたす ひたる,
1048,深,シン,shin,ふかい ふかまる ふかめる み-,fukai fukamaru fukameru mi ,deep; heighten; intensify; strengthen;,2,シン…ふかい ふかまる ふかめる み-,
1049,申,シン,shin,もうす もうし- さる,mousu moushi saru ,speaketh; have the honor to; ninth sign of Chinese zodiac; sign of the monkey;,2,シン…もうす もうし- さる,
1050,真,シン,shin,ま ま- まこと,ma ma makoto ,true; reality; Buddhist sect;,3,シン…ま ま- まこと,
1051,神,シン ジン,shin zin,かみ かん- こう-,kami kan kou ,gods; mind; soul;,2,シン ジン…かみ かん- こう-,
1052,紳,シン,shin,,,sire; good belt; gentleman;,1,シン…,
1053,臣,シン ジン,shin zin,,,retainer; subject;,2,シン ジン…,
1054,薪,シン,shin,たきぎ まき,takigi maki ,fuel; firewood; kindling;,1,シン…たきぎ まき,
1055,親,シン,shin,おや おや- したしい したしむ,oya oya shitashii shitashimu ,parent; intimacy; relative; familiarity; dealer (cards);,3,シン…おや おや- したしい したしむ,
1056,診,シン,shin,みる,miru ,checkup; seeing; diagnose; examine;,1,シン…みる,
1057,身,シン,shin,み,mi ,somebody; person; ones station in life;,2,シン…み,
1058,辛,シン,shin,からい つらい かのと,karai tsurai kanoto ,spicy; bitter; hot; acrid;,2,シン…からい つらい かのと,
1059,進,シン,shin,すすむ すすめる,susumu susumeru ,advance; proceed; progress; promote;,2,シン…すすむ すすめる,
1060,針,シン,shin,はり,hari ,needle; pin; staple; stinger;,2,シン…はり,
1061,震,シン,shin,ふるう ふるえる,furuu furueru ,quake; shake; tremble; quiver; shiver;,2,シン…ふるう ふるえる,
1062,人,ジン ニン,zin nin,ひと,hito ,person;,4,ジン ニン…ひと,
1063,仁,ジン ニ ニン,zin ni nin,,,humanity; virtue; benevolence; charity; man; kernel;,1,ジン ニ ニン…,
1064,刃,ジン ニン,zin nin,は やいば きる,ha yaiba kiru ,blade; sword; edge;,1,ジン ニン…は やいば きる,
1065,尋,ジン,zin,たずねる ひろ,tazuneru hiro ,inquire; fathom; look for;,1,ジン…たずねる ひろ,
1066,甚,ジン,zin,はなはだ はなはだしい,hanahada hanahadashii ,tremendously; very; great; exceedingly;,1,ジン…はなはだ はなはだしい,
1067,尽,ジン サン,zin san,つくす つきる つかす さかづき ことごとく つか つき,tsukusu tsukiru tsukasu sakaduki kotogotoku tsuka tsuki ,exhaust; use up; run out of; befriend; serve;,1,ジン サン…つくす つきる つかす さかづき ことごとく つか つき,
1068,迅,ジン,zin,,,swift; fast;,1,ジン…,
1069,陣,ジン,zin,,,camp; battle array; ranks; position;,1,ジン…,
1070,須,ス シュ,su syu,すべからく すべし ひげ まつ もちいる もとめる,subekaraku subeshi hige matsu mochiiru motomeru ,ought; by all means; necessarily;,1,ス シュ…すべからく すべし ひげ まつ もちいる もとめる,
1071,酢,サク,saku,す,su ,vinegar; sour; acid; tart;,1,サク…す,
1072,図,ズ ト,zu to,え はかる,e hakaru ,map; drawing; plan; unexpected; accidentally;,3,ズ ト…え はかる,
1073,吹,スイ,sui,ふく,fuku ,blow; breathe; puff; emit; smoke;,2,スイ…ふく,
1074,垂,スイ,sui,たれる たらす たれ なんなんとす,tareru tarasu tare nannantosu ,droop; suspend; hang; slouch;,1,スイ…たれる たらす たれ なんなんとす,
1075,帥,スイ,sui,,,commander; leading troops; governor;,1,スイ…,
1076,推,スイ,sui,おす,osu ,conjecture; infer; guess; suppose; support;,1,スイ…おす,
1077,水,スイ,sui,みず みず-,mizu mizu ,water;,4,スイ…みず みず-,
1078,炊,スイ,sui,たく,taku ,cook; boil;,1,スイ…たく,
1079,睡,スイ,sui,,,drowsy; sleep; die;,1,スイ…,
1080,粋,スイ,sui,いき,iki ,chic; style; purity; essence; pith; cream; elite; choice;,1,スイ…いき,
1081,翠,スイ,sui,かわせみ みどり,kawasemi midori ,green;,1,スイ…かわせみ みどり,
1082,衰,スイ,sui,おとろえる,otoroeru ,decline; wane; weaken;,1,スイ…おとろえる,
1083,遂,スイ,sui,とげる ついに,togeru tsuini ,consummate; accomplish; attain; commit (suicide);,1,スイ…とげる ついに,
1084,酔,スイ,sui,よう よい よ,you yoi yo ,drunk; feel sick; poisoned; elated; spellbound;,1,スイ…よう よい よ,
1085,錘,スイ,sui,つむ おもり,tsumu omori ,weight; plumb bob; sinker;,1,スイ…つむ おもり,
1086,随,ズイ,zui,まにまに したがう,manimani shitagau ,follow; though; notwithstanding; while; during; both; all; obey; submit to; comply; at the mercy of (the waves);,1,ズイ…まにまに したがう,
1087,瑞,ズイ スイ,zui sui,みず- しるし,mizu shirushi ,congratulations;,1,ズイ スイ…みず- しるし,
1088,髄,ズイ,zui,,,marrow; pith;,1,ズイ…,
1089,崇,スウ,suu,あがめる,agameru ,adore; respect; revere; worship;,1,スウ…あがめる,
1090,嵩,スウ シュウ,suu syuu,かさ かさむ たかい,kasa kasamu takai ,be aggravated; grow worse; grow bulky; swell;,1,スウ シュウ…かさ かさむ たかい,
1091,数,スウ ス サク ソク シュ,suu su saku soku syu,かず かぞえる しばしば せめる わずらわしい,kazu kazoeru shibashiba semeru wazurawashii ,number; strength; fate; law; figures;,2,スウ ス サク ソク シュ…かず かぞえる しばしば せめる わずらわしい,
1092,枢,スウ シュ,suu syu,とぼそ からくり,toboso karakuri ,hinge; pivot; door;,1,スウ シュ…とぼそ からくり,
1093,据,キョ,kyo,すえる すわる,sueru suwaru ,set; lay a foundation; install; equip; squat down; sit down;,1,キョ…すえる すわる,
1094,杉,サン,san,すぎ,sugi ,cedar; cryptomeria;,1,サン…すぎ,
1095,雀,ジャク ジャン サク シャク,zyaku zyan saku syaku,すずめ,suzume ,sparrow;,1,ジャク ジャン サク シャク…すずめ,
1096,澄,チョウ,tyou,すむ すます,sumu sumasu ,lucidity; be clear; clear; clarify; settle; strain; look grave;,1,チョウ…すむ すます,
1097,寸,スン,sun,,,measurement; foot/10;,1,スン…,
1098,世,セイ セ ソウ,sei se sou,よ さんじゅう,yo sanjyuu ,generation; world; society; public;,3,セイ セ ソウ…よ さんじゅう,
1099,瀬,ライ,rai,せ,se ,rapids; current; torrent; shallows; shoal;,1,ライ…せ,
1100,畝,ボウ ホ モ ム,bou ho mo mu,せ うね,se une ,furrow; 30 tsubo; ridge; rib;,1,ボウ ホ モ ム…せ うね,
1101,是,ゼ シ,ze shi,これ,kore ,just so; this; right; justice;,1,ゼ シ…これ,
1102,制,セイ,sei,,,system; law; rule;,2,セイ…,
1103,勢,セイ ゼイ,sei zei,いきおい はずみ,ikioi hazumi ,forces; energy; military strength;,2,セイ ゼイ…いきおい はずみ,
1104,姓,セイ ショウ,sei syou,,,surname;,2,セイ ショウ…,
1105,征,セイ,sei,,,subjugate; attack the rebellious; collect taxes;,1,セイ…,
1106,性,セイ ショウ,sei syou,さが,saga ,sex; gender; nature;,2,セイ ショウ…さが,
1107,成,セイ ジョウ,sei zyou,なる なす,naru nasu ,turn into; become; get; grow; elapse; reach;,2,セイ ジョウ…なる なす,
1108,政,セイ ショウ,sei syou,まつりごと まん,matsurigoto man ,politics; government;,2,セイ ショウ…まつりごと まん,
1109,整,セイ,sei,ととのえる ととのう,totonoeru totonou ,organize; arranging; tune; tone; meter; key (music);,1,セイ…ととのえる ととのう,
1110,星,セイ ショウ,sei syou,ほし,hoshi ,star; spot; dot; mark;,2,セイ ショウ…ほし,
1111,晴,セイ,sei,はれる はれ はれ- はらす,hareru hare hare harasu ,clear up;,2,セイ…はれる はれ はれ- はらす,
1112,正,セイ ショウ,sei syou,ただしい ただす まさ まさに,tadashii tadasu masa masani ,correct; justice; righteous; 10**40;,3,セイ ショウ…ただしい ただす まさ まさに,
1113,清,セイ ショウ シン,sei syou shin,きよい きよまる きよめる,kiyoi kiyomaru kiyomeru ,pure; purify; cleanse; exorcise; Manchu dynasty;,2,セイ ショウ シン…きよい きよまる きよめる,
1114,牲,セイ,sei,,,animal sacrifice; offering;,1,セイ…,
1115,生,セイ ショウ,sei syou,いきる いかす いける うまれる うまれ うまれ うむ おう はえる はやす き なま なま- なる なす むす,ikiru ikasu ikeru umareru umare umare umu ou haeru hayasu ki nama nama naru nasu musu ,life; genuine; birth;,4,セイ ショウ…いきる いかす いける うまれる うまれ うまれ うむ おう はえる はやす き なま なま- なる なす むす,
1116,盛,セイ ジョウ,sei zyou,もる さかる さかん,moru sakaru sakan ,boom; prosper; copulate;,1,セイ ジョウ…もる さかる さかん,
1117,精,セイ ショウ シヤウ,sei syou shiyau,,,refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill;,2,セイ ショウ シヤウ…,
1118,聖,セイ ショウ,sei syou,ひじり,hijiri ,holy; saint; sage; master; priest;,1,セイ ショウ…ひじり,
1119,声,セイ ショウ,sei syou,こえ こわ-,koe kowa ,voice;,2,セイ ショウ…こえ こわ-,
1120,製,セイ,sei,,,made in...; manufacture;,1,セイ…,
1121,西,セイ サイ ス,sei sai su,にし,nishi ,west; Spain;,4,セイ サイ ス…にし,
1122,誠,セイ,sei,まこと,makoto ,sincerity; admonish; warn; prohibit; truth; fidelity;,1,セイ…まこと,
1123,誓,セイ,sei,ちかう,chikau ,vow; swear; pledge;,1,セイ…ちかう,
1124,請,セイ シン ショウ,sei shin syou,こう うける,kou ukeru ,solicit; invite; ask;,1,セイ シン ショウ…こう うける,
1125,逝,セイ,sei,ゆく,yuku ,departed; die;,1,セイ…ゆく,
1126,青,セイ ショウ,sei syou,あお あお- あおい,ao ao aoi ,blue; green;,3,セイ ショウ…あお あお- あおい,
1127,静,セイ ジョウ,sei zyou,しず- しずか しずまる しずめる,shizu shizuka shizumaru shizumeru ,quiet;,2,セイ ジョウ…しず- しずか しずまる しずめる,
1128,斉,セイ サイ,sei sai,そろう ひとしい ひとしく あたる はやい,sorou hitoshii hitoshiku ataru hayai ,adjusted; alike; equal; similar variety of;,1,セイ サイ…そろう ひとしい ひとしく あたる はやい,
1129,税,ゼイ,zei,,,tax; duty;,2,ゼイ…,
1130,隻,セキ,seki,,,vessels; counter for ships; fish; birds; arrows; one of a pair;,2,セキ…,
1131,席,セキ,seki,むしろ,mushiro ,seat; mat; occasion; place;,2,セキ…むしろ,
1132,惜,セキ,seki,おしい おしむ,oshii oshimu ,pity; be sparing of; frugal; stingy; regret;,1,セキ…おしい おしむ,
1133,斥,セキ,seki,しりぞける,shirizokeru ,reject; retreat; recede; withdraw; repel; repulse;,1,セキ…しりぞける,
1134,昔,セキ シャク,seki syaku,むかし,mukashi ,once upon a time; antiquity; old times;,2,セキ シャク…むかし,
1135,析,セキ,seki,,,chop; divide; tear; analyze;,1,セキ…,
1136,石,セキ シャク コク,seki syaku koku,いし,ishi ,stone;,2,セキ シャク コク…いし,
1137,積,セキ,seki,つむ つもる つもり,tsumu tsumoru tsumori ,volume; product (x*y); acreage; contents; pile up; stack; load; amass;,2,セキ…つむ つもる つもり,
1138,籍,セキ,seki,,,enroll; domiciliary register; membership;,2,セキ…,
1139,績,セキ,seki,,,exploits; unreeling cocoons;,2,セキ…,
1140,責,セキ,seki,せめる,semeru ,blame; condemn; censure;,2,セキ…せめる,
1141,赤,セキ シャク,seki syaku,あか あか- あかい あからむ あからめる,aka aka akai akaramu akarameru ,red;,3,セキ シャク…あか あか- あかい あからむ あからめる,
1142,跡,セキ,seki,あと,ato ,tracks; mark; print; impression;,2,セキ…あと,
1143,切,セツ サイ,setsu sai,きる きり きれる きれ,kiru kiri kireru kire ,cut; cutoff; be sharp;,3,セツ サイ…きる きり きれる きれ,
1144,拙,セツ,setsu,つたない,tsutanai ,bungling; clumsy; unskillful;,1,セツ…つたない,
1145,接,セツ ショウ,setsu syou,つぐ,tsugu ,touch; contact; adjoin; piece together;,2,セツ ショウ…つぐ,
1146,摂,セツ ショウ,setsu syou,おさめる かねる とる,osameru kaneru toru ,vicarious; surrogate; act in addition to;,1,セツ ショウ…おさめる かねる とる,
1147,折,セツ,setsu,おる おり おり おれる,oru ori ori oreru ,fold; break; fracture; bend; yield; submit;,2,セツ…おる おり おり おれる,
1148,設,セツ,setsu,もうける,moukeru ,establishment; provision; prepare;,2,セツ…もうける,
1149,窃,セツ,setsu,ぬすむ ひそか,nusumu hisoka ,stealth; steal; secret; private; hushed;,1,セツ…ぬすむ ひそか,
1150,節,セツ セチ,setsu sechi,ふし のっと,fushi noto ,node; season; period; occasion; verse; clause; stanza; honor; joint; knuckle; knob; knot; tune; melody;,1,セツ セチ…ふし のっと,
1151,説,セツ ゼイ,setsu zei,とく,toku ,rumor; opinion; theory;,2,セツ ゼイ…とく,
1152,雪,セツ,setsu,ゆき,yuki ,snow;,2,セツ…ゆき,
1153,絶,ゼツ,zetsu,たえる たやす たつ,taeru tayasu tatsu ,discontinue; beyond; sever; cut off; abstain; interrupt; suppress;,2,ゼツ…たえる たやす たつ,
1154,舌,ゼツ,zetsu,した,shita ,tongue; reed; clapper;,1,ゼツ…した,
1155,仙,セン セント,sen sento,,,hermit; wizard; cent;,1,セン セント…,
1156,先,セン,sen,さき まず,saki mazu ,before; ahead; previous; future; precedence;,4,セン…さき まず,
1157,千,セン,sen,ち,chi ,thousand;,4,セン…ち,
1158,占,セン,sen,しめる うらなう,shimeru uranau ,fortune telling; divine; forecast; occupy; hold; have; get; take;,2,セン…しめる うらなう,
1159,宣,セン,sen,のたむう のたまわく,notamuu notamawaku ,proclaim; say; announce;,1,セン…のたむう のたまわく,
1160,専,セン,sen,もっぱら,moppara ,specialty; exclusive; mainly; solely;,2,セン…もっぱら,
1161,川,セン,sen,かわ,kawa ,stream; river;,4,セン…かわ,
1162,戦,セン,sen,いくさ たたかう おののく そよぐ わななく,ikusa tatakau ononoku soyogu wananaku ,war; battle; match;,2,セン…いくさ たたかう おののく そよぐ わななく,
1163,扇,セン,sen,おうぎ,ougi ,fan; folding fan;,1,セン…おうぎ,
1164,栓,セン,sen,,,plug; bolt; cork; bung; stopper;,1,セン…,
1165,泉,セン,sen,いずみ,izumi ,spring; fountain;,2,セン…いずみ,
1166,浅,セン,sen,あさい,asai ,shallow; superficial; frivolous; wretched; shameful;,2,セン…あさい,
1167,洗,セン,sen,あらう,arau ,wash; inquire into; probe;,2,セン…あらう,
1168,染,セン,sen,そめる そまる しみる しみ,someru somaru shimiru shimi ,dye; color; paint; stain; print;,1,セン…そめる そまる しみる しみ,
1169,潜,セン,sen,ひそむ もぐる かくれる くぐる ひそめる,hisomu moguru kakureru kuguru hisomeru ,submerge; conceal; hide; lower (voice); hush;,1,セン…ひそむ もぐる かくれる くぐる ひそめる,
1170,旋,セン,sen,,,rotation; go around;,1,セン…,
1171,線,セン,sen,すじ,suji ,line; track;,2,セン…すじ,
1172,繊,セン,sen,,,slender; fine; thin kimono;,1,セン…,
1173,腺,セン,sen,,,gland;,1,セン…,
1174,船,セン,sen,ふね ふな-,fune funa ,ship; boat;,2,セン…ふね ふな-,
1175,薦,セン,sen,すすめる,susumeru ,recommend; mat; advise; encourage; offer;,1,セン…すすめる,
1176,践,セン,sen,ふむ,fumu ,tread; step on; trample; practice; carry through;,1,セン…ふむ,
1177,選,セン,sen,えらぶ,erabu ,elect; select; choose; prefer;,2,セン…えらぶ,
1178,遷,セン,sen,うつる うつす みやこがえ,utsuru utsusu miyakogae ,transition; move; change;,1,セン…うつる うつす みやこがえ,
1179,銭,セン ゼン,sen zen,ぜに すき,zeni suki ,coin; .01 yen; money;,1,セン ゼン…ぜに すき,
1180,銑,セン,sen,,,pig iron;,1,セン…,
1181,鮮,セン,sen,あざやか,azayaka ,fresh; vivid; clear; brilliant; Korea;,1,セン…あざやか,
1182,前,ゼン,zen,まえ,mae ,in front; before;,4,ゼン…まえ,
1183,善,ゼン,zen,よい いい よく よしとする,yoi ii yoku yoshitosuru ,virtuous; good; goodness;,1,ゼン…よい いい よく よしとする,
1184,漸,ゼン,zen,,,steadily; gradually advancing; finally; barely;,1,ゼン…,
1185,然,ゼン ネン,zen nen,しか しかり しかし さ,shika shikari shikashi sa ,sort of thing; so; if so; in that case; well;,2,ゼン ネン…しか しかり しかし さ,
1186,全,ゼン,zen,まったく すべて,mattaku subete ,whole; entire; all; complete; fulfill;,2,ゼン…まったく すべて,
1187,禅,ゼン セン,zen sen,しずか ゆずる,shizuka yuzuru ,Zen; silent meditation;,1,ゼン セン…しずか ゆずる,
1188,繕,ゼン,zen,つくろう,tsukurou ,darning; repair; mend; trim; tidy up; adjust;,1,ゼン…つくろう,
1189,塑,ソ,so,でく,deku ,model; molding;,1,ソ…でく,
1190,措,ソ,so,おく,oku ,set aside; give up; suspend; discontinue; lay aside; except;,1,ソ…おく,
1191,疎,ソ ショ,so syo,うとい うとむ まばら,utoi utomu mabara ,alienate; rough; neglect; shun; sparse;,1,ソ ショ…うとい うとむ まばら,
1192,礎,ソ,so,いしずえ,ishizue ,cornerstone; foundation stone;,1,ソ…いしずえ,
1193,祖,ソ,so,,,ancestor; pioneer; founder;,2,ソ…,
1194,租,ソ,so,,,tariff; crop tax; borrowing;,1,ソ…,
1195,粗,ソ,so,あらい あら-,arai ara ,coarse; rough; rugged;,1,ソ…あらい あら-,
1196,素,ソ ス,so su,もと,moto ,elementary; principle; naked; uncovered;,1,ソ ス…もと,
1197,組,ソ,so,くむ くみ,kumu kumi ,association; braid; plait; construct; assemble; unite; cooperate; grapple;,2,ソ…くむ くみ,
1198,訴,ソ,so,うったえる,uttaeru ,accusation; sue; complain of pain; appeal to;,1,ソ…うったえる,
1199,阻,ソ,so,はばむ,habamu ,thwart; separate from; prevent; obstruct; deter; impede;,1,ソ…はばむ,
1200,僧,ソウ,sou,,,Buddhist priest; monk;,1,ソウ…,
1201,創,ソウ ショウ,sou syou,つくる はじめる きず けずしける,tsukuru hajimeru kizu kezushikeru ,genesis; wound; injury; hurt; start; originate;,1,ソウ ショウ…つくる はじめる きず けずしける,
1202,双,ソウ,sou,ふた たぐい ならぶ ふたつ,futa tagui narabu futatsu ,pair; set; comparison; counter for pairs;,2,ソウ…ふた たぐい ならぶ ふたつ,
1203,倉,ソウ,sou,くら,kura ,godown; warehouse; storehouse; cellar; treasury;,1,ソウ…くら,
1204,喪,ソウ,sou,も,mo ,miss; mourning;,1,ソウ…も,
1205,壮,ソウ,sou,さかん,sakan ,robust; manhood; prosperity;,1,ソウ…さかん,
1206,奏,ソウ,sou,かなでる,kanaderu ,play music; speak to a ruler; complete;,1,ソウ…かなでる,
1207,層,ソウ,sou,,,stratum; social class; layer; story; floor;,2,ソウ…,
1208,惣,ソウ,sou,いそがしい そうじて,isogashii soujite ,all;,1,ソウ…いそがしい そうじて,
1209,想,ソウ ソ,sou so,おもう,omou ,concept; think; idea; thought;,2,ソウ ソ…おもう,
1210,捜,ソウ シュ シュウ,sou syu syuu,さがす,sagasu ,search; look for; locate;,2,ソウ シュ シュウ…さがす,
1211,掃,ソウ シュ,sou syu,はく,haku ,sweep; brush;,2,ソウ シュ…はく,
1212,挿,ソウ,sou,さす はさむ,sasu hasamu ,insert; put in; graft; wear (sword);,1,ソウ…さす はさむ,
1213,操,ソウ サン,sou san,みさお あやつる,misao ayatsuru ,maneuver; manipulate; operate; steer; chastity; virginity; fidelity;,1,ソウ サン…みさお あやつる,
1214,早,ソウ サッ,sou sanull,はやい はや はや- はやまる はやめる さ-,hayai haya haya hayamaru hayameru sa ,early; fast;,3,ソウ サッ…はやい はや はや- はやまる はやめる さ-,
1215,曹,ソウ ゾウ,sou zou,つかさ ともがら へや,tsukasa tomogara heya ,cadet; friend;,1,ソウ ゾウ…つかさ ともがら へや,
1216,巣,ソウ,sou,す すくう,su sukuu ,nest; rookery; hive; cobweb; den;,1,ソウ…す すくう,
1217,槽,ソウ,sou,ふね,fune ,vat; tub; tank;,1,ソウ…ふね,
1218,燥,ソウ,sou,はしゃぐ,hashagu ,parch; dry up;,2,ソウ…はしゃぐ,
1219,争,ソウ,sou,あらそう いかでか,arasou ikadeka ,contend; dispute; argue;,2,ソウ…あらそう いかでか,
1220,相,ソウ ショウ,sou syou,あい-,ai ,inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy;,2,ソウ ショウ…あい-,
1221,窓,ソウ ス,sou su,まど てんまど けむだし,mado tenmado kemudashi ,window; pane;,2,ソウ ス…まど てんまど けむだし,
1222,総,ソウ,sou,すべて すべて ふさ,subete subete fusa ,general; whole; all; full; total;,2,ソウ…すべて すべて ふさ,
